date,trades,setup_A,setup_B,avg_entry_price,avg_tp_pct,avg_sl_pct,avg_qty,total_risk_usd
20250824,8,8,0,10.1475,5.025883995022639,2.463668625011098,,
20250825,0,0,0,,,,,
20250828,0,0,0,,,,,
20250829,0,0,0,,,,,
20250830,0,0,0,,,,,
20250831,0,0,0,,,,,
20250901,0,0,0,,,,,
20250902,1,1,0,191.97,1.578371620565714,1.5471167369901542,1.0,2.969999999999999
20250904,4,0,4,48.91499999999999,5.51848802594918,8.55192693980385,3.25,48.39000000000012
20250905,0,0,0,,,,,
20250907,3,3,0,255.18999999999997,5.000111253226051,2.5003524581657324,8.0,139.19999999999985
